epoch,train_loss,eval_loss,eval_top1,eval_top5
256,3.051129238187171,1.1354209375,80.356,95.316
257,3.0402073703414434,1.173240625,80.516,95.362
258,3.036231154374939,1.0993228125,80.622,95.448
259,3.028255935767286,1.0776378125,80.69,95.378
260,3.0196416039499256,1.0777271875,80.87,95.468
261,3.0093942073752267,1.04252875,80.788,95.392
262,2.996969935109766,1.0780415625,80.914,95.49
263,2.9959925592993852,1.0318234375,80.898,95.454
264,3.000659393225547,1.06606125,81.01,95.434
265,2.982408990939077,1.061383125,81.02,95.58
266,2.9883600964153603,1.042141875,81.078,95.522
267,2.9759729186789117,1.0397878125,81.07,95.624
268,2.9705162191038412,1.09341,81.08,95.496
269,2.9603905548675837,1.056145,81.028,95.594
270,2.9623998814968946,1.0051153125,81.326,95.732
271,2.962737776464124,1.00766125,81.266,95.61
272,2.942899912024002,1.0740228125,81.416,95.646
273,2.9426291861789498,1.0745034375,81.354,95.616
274,2.938390848424128,1.1161071875,81.416,95.754
275,2.9266137302779467,1.0084990625,81.388,95.724
276,2.9290740427305755,0.980391875,81.572,95.758
277,2.927661243388407,0.977543125,81.332,95.658
278,2.9250214370987493,1.1874384375,81.386,95.71
279,2.9140500099681836,1.084030625,81.414,95.606
280,2.9113532617557154,1.0518884375,81.662,95.838
281,2.9059714786678574,1.071815625,81.622,95.642
282,2.90021697344254,1.0777846875,81.7,95.65
283,2.898545853692374,0.986101875,81.696,95.764
284,2.9074908807266246,1.03358875,81.68,95.732
285,2.8905109283116035,1.0120278125,81.788,95.784
286,2.8857540665246506,1.0453909375,81.912,95.86
287,2.891346733513877,1.046041875,81.804,95.72
288,2.882350046476491,1.004805625,81.92,95.874
289,2.8785912369033224,1.07708875,81.788,95.85
290,2.8756248658176045,0.9553396875,81.902,95.818
291,2.8679394557369315,1.0052521875,81.86,95.808
292,2.8568864079783385,1.0181409375,81.804,95.872
293,2.8720750527368555,1.07242125,81.87,95.836
294,2.85196880211266,1.1030359375,81.964,95.812
295,2.8534429443778273,1.0132778125,82.064,95.836
296,2.855672465859176,1.0322971875,81.798,95.778
297,2.848787379803227,1.1000090625,81.83,95.866
298,2.8490056064155556,1.0097884375,82.026,95.904
299,2.856026929607399,1.096688125,81.822,95.758
300,2.854324085797242,1.0239303125,82.068,95.852
301,2.8473395581106296,1.0450721875,82.136,95.9
302,2.8506662938996947,1.0564178125,82.072,95.916
303,2.8330069645750915,0.98623625,82.114,95.898
304,2.836398126171838,1.1547384375,82.018,95.79
305,2.844797557301754,1.0615365625,82.1,95.962
306,2.834639558045984,1.00516125,82.134,95.902
307,2.8359930036689263,1.0163346875,82.014,95.864
308,2.8281492948722686,1.0672928125,82.038,95.856
309,2.8423885044386443,1.0625459375,81.748,95.738
310,2.830104468085116,1.0678121875,82.09,95.852
311,2.8340504790524497,0.93371125,82.12,95.91
312,2.8396192478904907,1.0498396875,82.154,95.874
313,2.82869969314332,1.1824428125,81.936,95.768
314,2.831010335259777,1.06945375,82.06,95.878
315,2.8290672661255685,0.9997275,82.168,95.944
316,2.8388071084956374,1.071561875,81.886,95.696
317,2.8246811418701037,1.007071875,82.114,95.918
318,2.8309887761501766,0.9532,82.142,95.93
319,2.825614109933138,1.0682471875,81.83,95.77
